COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Mauritania,MRT,AFRO,REPORTING,2/23/2022,2575171,1520227,55.384,32.695,1024055,22.024,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/2021,2
Mauritius,MUS,AFRO,REPORTING,2/15/2022,2353567,993298,185.063,78.104,947467,74.5,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",1/26/2021,3
Mexico,MEX,AMRO,REPORTING,2/25/2022,179274307,85083649,139.045,65.991,78750047,61.078,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/24/2020,7
Micronesia (Federated States of),FSM,WPRO,REPORTING,2/16/2022,97185,57174,84.492,49.707,45863,39.873,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,4
Monaco,MCO,EURO,REPORTING,12/21/2021,65140,28875,166,73.578,25667,65.404,Pfizer BioNTech - Comirnaty,6/30/2021,1
Mongolia,MNG,WPRO,REPORTING,2/18/2022,5556224,2270849,169.485,69.269,2172188,66.26,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,6
Montenegro,MNE,EURO,REPORTING,2/13/2022,526852,275260,83.9,44.263,251592,40.457,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,4
Montserrat,MSR,AMRO,REPORTING,2/25/2022,4089,1869,81.796,37.387,1749,34.987,AstraZeneca - Vaxzevria,2/8/2021,1
Morocco,MAR,EMRO,REPORTING,2/27/2022,53735588,24842826,145.583,67.305,23292458,63.105,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/28/2021,5
Mozambique,MOZ,AFRO,REPORTING,2/21/2022,19788759,12195082,63.313,39.017,10521232,33.662,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/8/2021,3
